timeId,x,y
1445157,185.45804,222.86258
1445198,183.28592,223.37646
1445237,179.69656,224.22516
1445279,177.45233,226.05322
1445316,175.80203,228.5239
1445358,174.9786,230.87851
1445399,174.32312,232.90552
1445439,173.57889,234.49069
1446449,172.88998,235.53293
1446449,172.11119,235.6287
1446449,177.16663,230.84229
1446449,180.87689,227.57623
1446450,183.2251,225.46954
1446452,185.09778,223.48557
1446452,186.63834,221.75996
1446454,187.23148,220.75058
1446457,187.31364,220.18384
1446460,187.46323,219.6333
1446462,187.81174,219.01996
1446462,188.4989,219.0315
1446464,189.48633,219.09906
1446465,190.1268,219.08823
1446468,190.66656,219.11136
1446470,190.87213,219.10757
1446470,191.32825,219.13129
1446472,191.41959,219.16373
1446473,191.44904,219.19931
1446473,191.64365,219.22205
1446475,192.02232,219.33937
1446476,192.9328,219.432
1446477,193.22266,219.57452
1446477,193.65326,219.50375
1446479,193.64877,219.5216
1446482,193.63287,219.55946
1446509,193.06363,219.78302
1446555,193.92671,219.13103
1446597,195.13702,219.07825
1446633,195.91211,219.16087
1446675,197.53354,218.11804
1446715,199.66357,217.09235
1446757,200.5805,214.03104
1446800,201.22021,212.01648
1446837,201.68967,210.58679
1446872,202.982,211.62659
1446917,207.92569,211.5112
1446959,212.32597,211.43468
1447000,215.82751,210.99295
1447038,217.56674,210.41924
1447073,218.40479,209.9888
1447117,219.96182,209.71754
1447155,217.88629,209.2019
1447193,221.81992,209.54437
1447238,225.12991,209.35266
1447275,227.86914,208.43573
1447320,230.26099,205.46527
1447356,231.68945,204.74777
1447398,232.24411,205.36995
1447439,232.59372,205.77446
1447480,231.72052,207.98917
1447520,215.77924,207.92686
1447565,205.99149,207.42406
1447612,197.73569,208.38057
1447652,190.82095,211.26062
1447692,184.84216,213.51416
1447737,180.91641,215.01682
1447770,178.83282,216.17245
1447808,176.92465,217.25511
1447850,176.02452,217.22653
1447893,175.09143,217.88258
1447929,174.07617,218.39792
1447968,173.9201,219.44104
1448012,174.91864,218.57004
1448053,177.49124,220.6427
1448091,181.78087,219.51764
1448135,185.43594,219.55106
1448177,170.1629,216.94534
1448209,160.08391,217.87793
1448250,156.29645,221.43552
1448291,154.5953,224.46964
1448337,154.33304,228.61584
1448390,160.75563,234.0003
1448443,165.8396,237.79349
1448513,174.7603,239.29773
1448559,184.64407,237.75357
1448602,192.49274,235.94763
1448646,197.69524,233.76596
1448672,195.01224,230.50403
1448716,194.86205,226.65009
1448762,194.83292,223.18143
1448800,194.1998,221.53946
1448835,192.09961,221.18842
1448877,191.35233,221.36113
1448920,188.37436,221.90118
1448959,185.62103,222.57632
1449004,183.1864,223.2131
1449041,179.57896,224.04266
1449075,177.41165,225.88007
1449119,175.81082,228.32645
1449153,174.74936,230.50275
1449198,174.17535,232.57977
1449236,173.44785,234.25311
1449280,172.7178,235.34187
1449321,171.97943,235.4589
1449354,177.02472,231.70602
1449403,180.71616,228.17471
1449437,183.11206,225.9439
1449481,185.04672,223.8577
1449517,186.65988,222.06387
1449555,187.33151,220.9164
1449597,187.38698,220.34222
1449636,187.59375,219.81532
1449677,187.89267,219.22467
1449722,188.48157,219.12329
1449751,189.38048,219.18347
1449794,190.12445,219.26929
1449839,190.63895,219.3253
1449882,190.96933,219.2912
1449923,191.42593,219.33078
1449953,191.64111,219.29242
1449998,191.77774,219.2923
1450038,191.85577,219.2615
1450081,192.2021,219.39026
1450121,192.97821,219.49588
1450158,193.2396,219.61905
1450202,193.61679,219.44363
1450249,193.6564,219.48877
1450288,193.70206,219.52274
1450336,193.22804,219.76651
1450385,194.7984,219.47672
1450428,195.96066,219.32666
1450465,197.67554,218.2823
1450503,199.39415,217.89876
1450549,201.00627,217.03401
1450588,201.39847,213.9599
1450621,203.78693,212.43723
1450661,204.35065,212.78806
1450704,207.81897,212.86427
1450743,211.15099,212.22809
1450789,215.03503,211.47345
1450823,217.47958,210.48508
1450865,218.69516,210.189
1450903,219.34827,209.51813
1450949,219.96587,209.13078
1450987,223.27275,209.54474
1451020,226.88043,208.81917
1451065,229.14879,207.81815
1451108,230.75894,206.474
1451150,232.22644,205.62253
1451188,232.51086,206.03934
1451220,231.5943,208.20691
1451270,231.1083,209.57596
1451304,214.18979,209.39017
1451343,203.73575,208.94136
1451387,196.50986,209.80118
1451421,189.9715,212.4595
1451467,185.43176,214.05945
1451504,181.14677,215.46161
1451546,178.22348,216.40056
1451587,176.58185,217.1991
1451626,174.94757,217.95868
1451669,174.5321,218.09256
1451705,174.0588,218.46915
1451740,174.18079,219.3252
1451784,176.02489,219.0744
1451821,177.67291,221.0523
1451866,179.28131,222.49985
1451907,183.30673,220.23828
1451938,186.4101,220.12733
1451989,171.19202,219.54404
1452022,180.35748,219.96964
1452062,169.79565,222.86597
1452104,163.6167,225.48276
1452143,160.41765,229.25159
1452182,164.76764,234.40427
1452221,168.54648,238.11035
1452260,174.59688,240.41212
1452304,180.71219,241.19028
1452339,186.9939,240.19662
1452382,194.19089,237.59387
1452421,198.7698,234.89078
1452462,196.10925,231.07297
1452504,194.6446,226.18158
1452543,190.62827,226.31702
1452578,191.38492,223.47348
1452625,190.43353,222.56935
1452661,190.05563,222.15154
1452704,187.78424,222.25572
1452742,186.03023,222.46133
1452784,183.42297,223.17009
1452822,179.83957,224.04123
1452862,177.58191,225.75694
1452904,176.24356,227.67484
1452944,175.04257,229.55751
1452985,174.48676,232.0261
1453023,173.775,233.94366
1453064,173.15668,235.20227
1453108,172.74191,236.0503
1453199,177.48355,232.26636
1453235,181.15543,228.55502
1453279,183.57065,226.28474
1453315,185.38284,224.01996
1453351,186.66566,222.14713
1453399,187.05658,220.89606
1453437,187.27728,220.24919
1453478,187.53563,219.64018
1453518,187.9863,219.27878
1453558,188.63396,219.29437
1453600,189.65161,219.29538
1453637,190.35861,219.29356
1453672,190.66986,219.34174
1453713,191.16638,219.3381
1453753,191.60658,219.35168
1453799,191.84735,219.1885
1453840,191.95139,219.12016
1453878,191.97324,219.20113
1453920,192.42368,219.34695
1453957,193.08395,219.3972
1453999,193.31194,219.52066
1454040,193.59604,219.46457
1454078,193.55568,219.44925
1454116,193.57327,219.41187
1454160,192.86655,219.82047
1454201,194.10086,219.17435
1454234,195.12018,219.34299
1454275,196.13028,219.30057
1454317,197.95813,218.56693
1454353,199.79659,217.56058
1454394,200.6287,214.23209
1454438,201.19043,211.97516
1454478,201.74951,210.70488
1454516,206.4129,211.3374
1454558,210.20444,211.20422
1454596,213.75793,211.16183
1454646,216.78165,210.70007
1454674,217.98703,210.0433
1454716,219.00865,210.00934
1454758,219.75903,209.978
1454794,218.70897,209.5556
1454836,222.36246,209.74812
1454878,225.49889,209.5311
1454926,228.26923,207.57239
1454954,230.29295,206.13168
1454993,231.6895,205.17636
1455049,232.389,205.9161
1455086,231.52878,208.08725
1455131,214.42474,208.47765
1455169,204.20648,208.17065
1455215,198.1505,207.56665
1455260,191.91846,210.44388
1455303,187.0261,212.62741
1455348,182.37839,214.42996
1455394,179.95486,215.82532
1455422,177.62607,217.06824
1455459,175.67102,217.91772
1455504,175.59654,217.47563
1455543,174.61719,218.11151
1455584,173.95853,219.29724
1455629,175.52325,218.60168
1455675,177.238,220.70523
1455705,178.93207,222.13025
1455750,182.7667,220.23508
1455793,168.52046,217.40248
1455834,158.88112,218.19896
1455864,171.18619,219.51636
1455900,163.65617,222.61359
1455941,159.47736,225.29181
1455981,159.4874,230.60306
1456020,164.18188,235.35722
1456065,168.12317,238.67416
1456106,174.2694,240.85428
1456145,180.49612,241.50357
1456180,188.25903,239.32437
1456221,194.97192,236.98488
1456263,199.47038,234.49457
1456299,196.297,230.76721
1456345,195.08301,225.81305
1456383,195.22206,222.45142
1456422,194.57578,221.18097
1456461,192.50276,221.33232
1456508,191.45905,221.38303
1456541,189.11746,221.30927
1456578,186.21416,222.05249
1456622,183.6204,222.82709
1456665,179.927,223.94699
1456704,177.63979,225.92554
1456743,176.19382,227.9798
1456777,175.06662,230.194
1456822,174.2939,232.32607
1456863,173.55971,233.89731
1456903,172.78769,234.87762
1456939,172.25734,235.54102
1456987,177.26184,231.88087
1457020,180.96378,228.3273
1457066,183.3643,226.00912
1457099,185.24677,223.75249
1457139,186.53531,222.3109
1457183,187.16196,221.10497
1457220,187.35202,220.34189
1457261,187.60449,219.76529
1457304,187.77844,219.08575
1457341,188.1925,218.84828
1457383,189.39404,218.97928
1457422,190.14044,219.12297
1457467,190.66403,219.22319
1457501,191.0571,219.21782
1457542,191.4264,219.23264
1457580,191.61618,219.22235
1457621,191.71191,219.23221
1457664,191.78714,219.27701
1457703,192.10893,219.46628
1457747,192.65755,219.54721
1457787,193.03146,219.60806
1457817,193.31824,219.4657
1457867,193.54031,219.38448
1457902,193.38234,219.49396
1457949,193.28897,219.5586
1457980,194.46472,219.09189
1458020,195.14731,219.30627
1458065,196.25714,219.28726
1458104,198.04593,218.20334
1458145,199.53873,217.51047
1458183,200.44296,214.03833
1458219,201.08688,211.76292
1458270,203.8039,211.07458
1458304,204.34787,211.98883
1458342,207.82881,212.26956
1458385,212.17194,211.89978
1458424,215.65921,211.18997
1458465,216.88205,210.4815
1458506,217.91998,210.21237
1458550,218.85474,209.52615
1458584,218.05875,209.17226
1458626,221.93335,209.46008
1458663,225.69315,208.64801
1458707,228.50462,207.95068
1458746,230.30518,206.5933
1458791,231.7338,205.51419
1458837,232.00113,205.594
1458877,232.1882,205.65503
1458919,230.88524,207.73743
1458957,214.4831,207.50296
1458993,204.81094,207.14963
1459038,197.18219,208.21243
1459078,190.30801,211.39456
1459117,184.04015,213.37494
1459158,179.87357,214.70148
1459192,177.91568,215.86388
1459238,176.25266,217.04074
1459277,174.78653,217.80203
1459321,173.76022,218.23953
1459358,173.04404,218.66963
1459393,173.13664,220.07104
1459440,174.8612,220.0166
1459475,176.72269,221.9274
1459514,181.42589,220.23703
1459562,185.14618,220.09074
1459598,170.1027,217.34409
1459638,159.9209,218.15468
1459678,171.45755,219.55713
1459722,164.72548,223.25015
1459757,161.08136,227.70987
1459796,160.46254,232.23972
1459838,164.87044,236.46683
1459879,168.63959,239.53223
1459916,176.67886,240.54944
1459955,184.40948,240.00934
1459996,190.81705,238.30148
1460035,196.49646,236.3241
1460076,200.3103,234.03104
1460117,197.22751,228.38367
1460157,192.12598,229.2933
1460199,193.05792,225.02127
1460239,193.20132,222.40836
1460281,191.56705,221.97195
1460321,188.94687,221.77502
1460353,186.78183,222.24799
1460403,184.64194,222.84354
1460438,182.47958,223.36249
1460474,179.14505,224.48975
1460516,177.2712,227.16768
1460560,175.71036,229.30234
1460595,174.89716,231.36996
1460640,174.33093,233.22849
1460673,173.57208,234.651
1460713,172.92221,235.56812
1460755,172.04883,235.6528
1460801,177.08475,231.83302
1460839,180.63077,228.21426
1460882,183.10474,225.97919
1460922,185.08063,223.87947
1460952,186.7239,222.07259
1460995,187.29117,220.90045
1461032,187.31792,220.29973
1461080,187.49017,219.81578
1461115,187.91174,219.42593
1461153,188.75644,219.17197
1461197,189.70663,219.20602
1461236,190.32202,219.24458
1461278,190.8274,219.25943
1461318,191.16776,219.27472
1461362,191.55931,219.24469
1461400,191.6918,219.23233
1461432,191.73093,219.25323
1461472,191.73196,219.31354
1461516,192.3039,219.45642
1461551,193.00034,219.69043
1461596,193.1982,219.76599
1461632,193.44011,219.6976
1461676,193.56119,219.53957
1461719,193.65741,219.4668
1461758,193.12051,219.66022
1461792,193.99277,219.19138
1461830,194.9939,219.34119
1461876,196.15022,219.1503
1461918,198.26071,218.43752
1461956,200.07599,217.38092
1461997,200.63057,214.21597
1462031,201.03244,212.0956
1462081,201.8193,210.83278
1462115,206.13657,211.47675
1462152,210.02814,211.33926
1462201,213.61528,211.39088
1462233,216.61868,210.7704
1462277,217.7127,210.2043
1462316,219.46814,209.90414
1462355,220.82605,209.73624
1462404,219.93597,209.48895
1462436,223.20616,209.79945
1462477,225.96951,209.63557
1462515,228.7139,207.5428
1462551,230.80151,206.34966
1462594,232.10922,205.43042
1462634,232.58493,205.77008
1462677,232.88248,205.92816
1462718,231.39209,207.85867
1462758,215.17215,207.67451
1462801,205.66473,207.22739
1462835,197.52612,208.50922
1462874,190.3753,211.48462
1462916,184.51047,213.58063
1462953,180.60855,215.00012
1463002,178.7547,216.13965
1463040,176.8559,217.18181
1463077,175.46097,217.87473
1463125,174.4251,217.95059
1463160,173.57547,218.64586
1463195,173.48264,219.68399
1463241,175.30383,219.2891
1463280,177.10384,221.34143
1463332,181.91283,219.57446
1463368,185.56763,219.59253
1463410,170.38947,216.8452
1463450,179.73566,218.27222
1463491,169.4061,221.74097
1463537,163.35715,224.70529
1463565,160.10158,228.68701
1463610,159.81544,232.86958
1463650,165.17181,237.07785
1463697,172.28665,239.75429
1463733,179.10062,240.56442
1463766,185.96939,239.80661
1463811,192.02635,238.1385
1463853,197.42224,235.2028
1463890,194.67606,231.3807
1463927,193.01411,226.56314
1463974,189.62392,227.40721
1464012,191.50648,223.53757
1464054,190.5632,222.91684
1464093,190.24219,222.35512
1464138,188.07562,222.00635
1464171,186.26451,222.36385
1464217,184.164,222.77466
1464254,180.28485,223.82196
1464287,177.8465,225.78305
1464345,176.32056,227.76144
1464374,175.04373,229.6684
1464408,174.47055,231.64532
1464449,173.67767,233.64636
1464490,172.95618,234.96722
1464528,172.45633,235.84567
1464572,171.82063,235.83824
1464612,176.97194,230.98267
1464655,180.60878,227.75186
1464686,183.34485,225.01471
1464726,185.19034,223.24268
1464771,186.70032,221.59723
1464810,187.27301,220.64157
1464856,187.436,219.93997
1464892,187.79349,219.2254
1464937,188.13786,218.8432
1464964,188.7174,218.91309
1465012,189.63272,219.01973
1465049,190.33554,219.06546
1465087,190.65033,219.07681
1465132,191.1135,219.12875
1465170,191.48996,219.14548
1465217,191.52792,219.17322
1465255,191.6965,219.20459
1465285,192.05774,219.32767
1465338,192.6865,219.36877
1465367,193.3778,219.4517
1465415,193.52081,219.5877
1465451,193.56003,219.57788
1465532,193.57343,219.59715
1465568,193.59087,219.6029
1465607,193.03546,219.81213
1465656,194.53989,219.53458
1465686,195.51202,219.46661
1465725,197.26547,218.32289
1465768,199.08118,217.52032
1465806,200.7005,216.69188
1465856,201.30061,213.79926
1465902,201.74353,211.78125
1465946,203.01807,212.42688
1465985,207.94986,212.0474
1466033,212.3422,211.79391
1466057,215.83838,211.23367
1466143,217.57402,210.5805
1466143,218.40965,210.09686
1466184,219.96507,209.78995
1466227,217.88849,209.2504
1466263,221.82138,209.57687
1466297,225.13089,209.37442
1466341,227.86978,208.45032
1466386,230.26141,205.47505
1466419,231.68976,204.75433
1466465,232.24431,205.37434
1466505,232.59384,205.7774
1466549,231.72061,207.99115
1466587,215.7793,207.92818
1466626,205.99153,207.42493
1466661,197.73572,208.38116
1466706,190.61191,211.47116
1466739,186.04803,213.33133
1466787,181.72433,214.89432
1466819,179.37411,216.0904
1466866,177.28732,217.20013
1466906,175.46758,217.92096
