timeId,x,y
1519013,208.22458,226.9311
1519041,209.08336,226.72552
1519088,209.7132,226.39099
1519125,210.5329,225.87164
1519172,211.70914,225.66551
1519210,212.91031,225.54117
1519251,213.72697,225.39493
1519288,214.47263,225.17093
1519322,214.98723,225.0249
1519366,215.72403,224.7609
1519407,216.29729,224.26215
1519446,216.94353,223.69742
1519487,219.32208,221.89642
1519526,220.49632,220.50543
1519570,220.85443,218.96155
1519610,220.74315,217.67645
1519644,219.87671,216.74272
1519684,219.48322,215.51947
1519728,220.6542,214.33441
1519766,220.37515,213.4229
1519810,220.85771,211.745
1519846,221.22794,209.68585
1519883,222.49945,208.1611
1519927,223.36243,207.13606
1519970,223.96048,205.87408
1520005,224.36383,204.56267
1520049,223.82707,202.65868
1520085,222.09508,201.73486
1520127,219.49614,201.26437
1520170,215.78381,201.07231
1520211,201.37231,204.73074
1520242,201.35619,200.76938
1520286,201.05539,197.07777
1520326,197.96915,194.65787
1520370,194.08817,193.46545
1520409,190.15414,192.5114
1520448,183.72534,195.67549
1520488,180.09645,199.35847
1520528,177.56976,202.62987
1520567,175.88918,204.823
1520608,175.38516,207.10745
1520646,181.76907,210.77585
1520685,186.16312,215.64813
1520731,185.1699,219.27682
1520767,186.90594,220.68317
1520812,186.24222,222.8732
1520849,186.8471,224.36462
1520883,187.75096,225.26076
1520922,189.42896,225.858
1520966,191.23419,226.22813
1521007,192.86725,226.37837
1521048,195.41748,225.91295
1521092,198.9372,226.07169
1521129,200.94617,225.04617
1521170,202.91638,224.30838
1521213,204.18063,223.83109
1521250,205.4837,223.10559
1521286,206.29788,222.70111
1521325,207.07732,222.30595
1521369,207.78912,221.81316
1521408,208.24174,221.46605
1521448,208.73611,221.00146
1521487,209.06552,220.68777
1521527,209.02777,220.61499
1521568,209.3734,220.24402
1521608,209.66867,219.95464
1521650,207.26797,223.48093
1521690,205.66035,225.70824
1521729,204.78314,227.09619
1521773,204.63705,227.86371
1521821,204.38779,228.38055
1521870,204.13351,228.26651
1521904,203.72867,228.15732
1521950,203.97144,227.95828
1522005,204.1642,227.82207
1522056,204.95566,227.52316
1522101,206.22562,227.11403
1522140,206.9435,226.97278
1522185,207.13379,226.96179
1522222,208.01468,226.90225
1522267,208.5979,226.85638
1522301,209.00937,226.66422
1522345,209.55385,226.4928
1522389,209.9779,226.2655
1522417,211.55817,225.63437
1522459,212.96011,225.47278
1522504,213.83017,225.38837
1522541,214.3685,225.2279
1522583,214.92328,225.02917
1522620,215.72661,224.77249
1522666,216.31143,224.34901
1522703,216.94609,223.81369
1522747,217.91345,222.65683
1522782,220.11469,220.86005
1522829,220.51675,219.22719
1522877,220.41669,217.9267
1522916,220.35416,217.04301
1522958,219.82721,215.93108
1523007,220.8925,214.64784
1523053,221.35112,212.23688
1523088,221.60635,209.88785
1523125,222.77048,208.9017
1523170,223.62035,207.58206
1523206,224.18338,206.70555
1523251,224.53763,205.55513
1523290,224.27469,203.8927
1523325,223.6438,202.04874
1523373,221.9169,201.16528
1523409,219.17691,200.61903
1523449,215.51132,200.23523
1523499,210.84764,198.98085
1523533,207.6695,197.06242
1523571,205.18362,194.58978
1524578,200.63008,193.02805
1524579,195.75629,192.16293
1524580,188.87889,194.3813
1524584,182.92456,196.84256
1524591,179.57607,200.05246
1524591,177.08997,203.09724
1524591,175.4152,205.13348
1524598,181.5768,209.63794
1524598,186.29993,214.20706
1524599,182.35416,216.70284
1524599,182.4992,219.86945
1524601,184.97925,221.02188
1524603,186.02316,223.10406
1524605,186.76294,224.4782
1524605,187.32823,225.24579
1524608,188.87386,226.06192
1524608,191.01483,226.40536
1524610,194.31317,226.06256
1524613,196.78113,226.17654
1524615,199.8071,226.32323
1524617,201.84337,225.21573
1524619,203.24728,224.46216
1524621,204.7131,223.67892
1524623,205.83875,222.94315
1524626,206.46394,222.61923
1524627,207.3219,222.06192
1524660,207.91714,221.61183
1524704,208.49844,221.21164
1524744,208.86644,220.91876
1524784,208.78671,220.82751
1524818,209.13184,220.4729
1524857,209.48093,220.08652
1524901,206.99341,223.5716
1524939,205.32298,225.89308
1524983,204.42776,227.32678
1525021,204.38713,228.02008
1525057,204.24847,228.42838
1525101,203.79729,228.16676
1525141,203.82208,228.23917
1525183,203.56644,228.22723
1525223,203.91422,228.02835
1525256,204.53152,227.81824
1525304,205.18307,227.51
1525346,205.79413,227.18617
1525389,206.63701,226.92609
1525417,206.97455,226.66263
1525462,207.14258,226.7966
1525496,207.91281,226.7625
1525547,208.40903,226.76025
1525593,209.17456,226.54425
1525634,209.88617,226.21451
1525671,210.80786,225.72687
1525716,212.33124,225.55194
1525752,213.36581,225.45183
1525789,214.00488,225.41638
1525836,214.6825,225.19614
1525876,215.12701,225.05316
1525919,215.84781,224.72495
1525957,216.64523,224.02484
1525999,217.648,222.94495
1526037,219.89029,221.35585
1526071,221.11935,220.21506
1526120,221.37695,219.04556
1526154,221.15062,217.78024
