timeId,x,y
1618387,154.92145,199.07834
1618432,157.81769,198.4721
1618473,160.00168,197.99252
1618516,162.25708,195.55173
1618552,165.07681,193.85828
1618590,167.96335,192.9558
1618637,171.1936,192.7843
1618671,173.75102,194.04803
1618710,176.2707,194.41803
1618761,176.06386,195.90771
1618793,177.52762,197.31607
1618831,182.74419,200.1984
1618867,187.17099,202.35286
1618916,189.45801,205.69333
1618950,191.97955,207.74814
1618993,193.33493,209.651
1619036,193.99577,210.71268
1619072,194.44162,211.42795
1619117,194.43188,212.27675
1619154,194.3211,214.14798
1619189,192.98926,215.48474
1619237,192.68317,217.3989
1619270,192.19574,218.81357
1619308,191.80666,220.44284
1619352,191.0694,223.05624
1619388,189.68567,225.03073
1619431,188.40907,226.53491
1619469,187.84348,228.70947
1619512,188.11356,230.46014
1619549,188.0832,232.4994
1619589,187.59315,234.96457
1619630,186.88242,236.74373
1619669,186.54218,239.07245
1619708,185.0936,241.18344
1619751,185.20013,243.22041
1619787,184.56406,244.6865
1619837,184.0891,246.3797
1619870,185.41762,246.77225
1619912,186.45706,247.62837
1619948,188.27818,224.2648
1619991,188.8858,208.5687
1620030,189.27292,198.05348
1620071,188.92212,191.48775
1620108,188.28166,187.34946
1620149,191.78448,186.17091
1620197,193.5798,185.52254
1620232,196.11841,185.71066
1620279,198.24823,186.09875
1620330,199.79697,187.4371
1620367,200.2204,189.60336
1620416,198.61403,193.07227
1620463,193.54178,197.08127
1620514,187.99756,200.83504
1620555,181.54356,201.82956
1620599,177.10684,202.80328
1620646,171.35587,205.18558
1620684,167.2136,206.02142
1620726,162.9043,206.04228
1620766,161.06621,205.28894
1620802,159.85587,204.79068
1620848,157.51259,204.12215
1620885,154.52994,203.34804
1620929,153.33347,202.64565
1620969,152.35547,202.17323
1621006,151.61568,201.17535
1621044,150.38559,200.11783
1621088,150.09476,200.37242
1621126,150.60544,200.44023
1621164,151.35739,199.8235
1621208,152.27356,199.18263
1621248,155.46515,198.74075
1621282,158.40552,198.05495
1621329,161.16254,195.61584
1621370,163.41501,193.98662
1621409,166.00162,192.86028
1621450,168.42271,192.34464
1621482,172.00261,193.87123
1621522,174.89056,194.0862
1621570,175.10358,195.69632
1621606,175.24692,196.7778
1621646,177.22186,197.94312
1621688,183.41995,200.93434
1621729,187.09946,204.55637
1621769,190.48709,206.68956
1621808,192.58665,208.49823
1621849,193.68167,210.1185
1621893,194.37747,211.04694
1621938,194.32916,211.94914
1621978,195.0615,213.92822
1622023,193.44218,215.39752
1622062,193.01192,217.05804
1622103,192.53755,218.74216
1622144,191.83015,221.47179
1622188,191.25122,223.6639
1622230,189.94037,225.31909
1622273,188.54382,226.90488
1622337,187.95143,228.82877
1622358,188.92023,230.79877
1622390,188.82727,232.9885
1622432,188.0812,235.11188
1622473,186.929,236.99118
1622517,186.44717,239.26898
1622559,186.09119,241.6228
1622590,186.13818,243.48593
1622631,185.2456,244.80862
1622673,184.5345,246.53412
1622714,185.70425,247.15436
1622755,186.91574,247.68692
1622797,188.65802,224.16293
1622837,188.9856,208.56207
1622870,189.21115,198.11464
1622918,188.69846,191.63979
1622955,190.91087,188.54462
1622984,193.63411,186.99666
1623029,195.20387,185.80916
1623076,197.13896,185.73346
1623114,199.25945,186.1663
1623155,200.70413,187.94632
1623201,200.90714,189.87451
1623229,199.0763,193.24042
1623269,196.7738,196.65497
1623310,192.14523,199.54231
1623349,186.50517,202.15443
1623388,180.7836,202.75201
1623427,176.2293,203.67645
1623471,170.74883,205.65741
1623510,166.98471,206.67657
1623552,162.8742,206.49973
1623589,161.0978,205.59686
1623635,159.90802,204.99097
1623670,157.62231,204.29782
1623713,155.29535,203.48537
1623750,153.91528,202.75742
1623792,152.69395,202.2467
1623830,151.90744,201.27867
1623872,150.61815,200.2516
1623915,149.74176,200.18042
1623954,150.3285,200.27008
1623989,151.22386,199.78117
1624032,152.17986,199.33206
1624073,155.04153,198.6832
1624113,157.98276,198.308
